key,en
theme.environmental.name,Earthen
theme.gilded.name,Gilded
theme.inverted.name,Inverted
theme.magical.name,Magical
theme.sunset.name,Sunset
theme.twilight.name,Twilight
action.area_press.name,Area Press
action.buy_many.name,Buy Many Modifier
action.fps.name,Toggle FPS
action.fullscreen.name,Fullscreen
action.go_to_academy.name,Go To Academy
action.go_to_building.name,Go To Building
action.go_to_dragon_nest.name,Go To Dragon Nest
action.go_to_embassy.name,Go To Embassy
action.go_to_forestry.name,Go To Forestry
action.go_to_observatory.name,Go To Observatory
action.go_to_orb.name,Go To Orb
action.go_to_prestige.name,Go To Prestige
action.go_to_relics.name,Go To Alchemy Lab
action.go_to_runecraft.name,Go To Runecraft
action.go_to_sorcery.name,Go To Sorcery
action.go_to_study.name,Go To Study
action.go_to_temple.name,Go To Temple
action.go_to_wall_wizard.name,Go To Wall Wizard
action.joypad_zoom_in.name,Zoom In (Joypad)
action.joypad_zoom_out.name,Zoom Out (Joypad)
action.keyboard_zoom_in.name,Zoom In (Keyboard)
action.keyboard_zoom_out.name,Zoom Out (Keyboard)
action.up.name,Move Up
action.down.name,Move Down
action.left.name,Move Left
action.right.name,Move Right
blessing.academy_blessing.name,Blessing of Research
blessing.academy_blessing.description,"When research subjects in The Academy level up, they gain {mult} extra level(s)"
blessing.alchemy_blessing.name,Blessing of Alchemy
blessing.alchemy_blessing.description,"Every time one {magic_gold_icon} is created, create an extra {add} {magic_gold_icon}"
blessing.balance_blessing.name,Blessing of Balance
blessing.balance_blessing.description,"The tower requirement that is the furthest from being met by will have its resource gain increased by {percent_increase}% 

- If all tower requirements are met, or there are no tower requirements, increase all tower requirement resource gains by {all_increase}% instead."
blessing.balance_blessing_exception.description,- Does not apply to {cosmic_dust_icon}
blessing.blessing_of_carving.name,Blessing of Carving
blessing.blessing_of_carving.description,Unlocks the option to auto-buy Totems.
blessing.blessing_of_compounding.name,Blessing of Compounding
blessing.blessing_of_compounding.description,The Blessing of Destruction bonuses will increase by a compounding {percent_increase}%
blessing.blessing_of_curses.name,Blessing of Curses
blessing.blessing_of_curses.description,"Shamans will apply {effect} to the wall. When 100 stacks are reached, deals damage to the wall equal to {mult} times the damage of all Shamans combined."
blessing.blessing_of_destruction.name,Blessing of Destruction
blessing.blessing_of_destruction.description,Non-sorcery Spirit productivity will increase by {percent_increase}% for every order of magnitude of damage per minute.
blessing.blessing_of_destruction.active_description,"Non-sorcery Spirit productivity will increase by {percent_increase}%

 - Next level at {damage} damage per minute."
blessing.blessing_of_diplomacy.name,Blessing of Diplomacy
blessing.blessing_of_diplomacy.description,"Every time you establish relations with a nation, gain {amount} {magic_gold_icon}.

- Not affected by resource bonuses."
blessing.blessing_of_effects.name,Blessing of Effects
blessing.blessing_of_effects.description,Each status effect on the wall will only decay after it reaches {decay} stacks
blessing.blessing_of_exploration.name,Blessing of Exploration
blessing.blessing_of_exploration.description,Reveals a new nation that will provide Trade Agreements equal to your diplomat population when relations are established.
blessing.blessing_of_few.name,Blessing of Few
blessing.blessing_of_few.description,All Spirit Types that do not have the Blessing of 60 or Blessing of Population active will become {percent_increase}% more productive.
blessing.blessing_of_fire.name,Blessing of Fire
blessing.blessing_of_fire.description,"Ifrits will apply {effect} to the wall. For every stack of Molten, the Wall takes {percent_increase}% more damage from Dragon Fireballs.

- Also Dragon EXP gain increases by {exp_increase}%"
blessing.blessing_of_fire_abridged.description,"Ifrits will apply {effect} to the wall. For every stack of Molten, the Wall takes {percent_increase}% more damage from Dragon Fireballs."
blessing.blessing_of_hovering.name,Blessing of Hovering
blessing.blessing_of_hovering.description,Just hovering over a place will speed up spirits instead of clicking.
blessing.blessing_of_multitasking.name,Blessing of Multitasking
blessing.blessing_of_multitasking.description,Spirit Sages will research all subjects in The Academy at once.
blessing.blessing_of_n.name,Blessing of 60
blessing.blessing_of_n.description,"Spirits with a population of {threshold} or more will become {percent_increase}% more productive.

-'Productive' means the primary function of the spirit type is boosted."
blessing.blessing_of_population.name,Blessing of Population
blessing.blessing_of_population.description,"The Spirit Type that has the largest population will become {percent_increase}% more productive.

-'Productive' means the primary function of the spirit type is boosted."
blessing.blessing_of_summoning.name,Blessing of Summoning
blessing.blessing_of_summoning.description,Unlocks the option to auto-buy {spirit_icon}.
blessing.blessing_of_supervision.name,Blessing of Supervision
blessing.blessing_of_supervision.description,Whichever clickable place you clicked last gets a speed boost of {percent_increase}% until a different area is clicked
blessing.blessing_of_supervision_units.description,- Sorcery units gain only half of the speed increase
blessing.blessing_of_the_tower.name,Blessing of the Tower
blessing.blessing_of_the_tower.description,"When starting a new run, the tower will be built with the study, {cloudlings} cloudlings, and {tomes} tomes"
blessing.blessing_of_the_tower_2.name,Greater Blessing of the Tower
blessing.blessing_of_the_tower_2.description,"When starting a new run, the tower will be built with Forestry, {druids} Druids, Prestige, and {spirit_tomes} additional Spirit Tomes."
blessing.blessing_of_the_tower_3.name,Final Blessing of the Tower
blessing.blessing_of_the_tower_3.description,"When starting a new run, the tower will be built with all buildings up to and including Sorcery."
blessing.blessing_of_totems.name,Blessing of Totems
blessing.blessing_of_totems.description,"For every {totems} totems of a certain type are carved, increase the passive effect of the that totem type by a compounding {percent_increase}%"
blessing.build_academy.name,Blessing of Tomes
blessing.build_academy.description,"When there are at least {requirement} Spirit Tomes, {knowledge_icon} and {magic_icon} gain is increased by {percent_increase}%"
blessing.crafting_totem_blessing.name,Blessing of the Crafting Totem
blessing.crafting_totem_blessing.description,Adds a new Totem that speeds up {blank_rune_icon} and {magic_gold_icon} creation by {percent_increase}%
blessing.doubling_blessing.name,Blessing of Doubling
blessing.doubling_blessing.description,"When a Cloudling, Spirit Tome, or Druid is summoned, it will be summoned twice."
blessing.dragon_blessing.name,Blessing of the Dragon
blessing.dragon_blessing.description,"When the Dragon levels up, gain an additional {points} dragon ability points"
blessing.dragon_wisdom_blessing.name,Blessing of the Dragon Wisdom
blessing.dragon_wisdom_blessing.description,Every 10th level of a Dragon ability will boost the ability value by a compounding {percent_increase}%
blessing.forest_keeper_blessing.name,Blessing of the Forest Keeper
blessing.forest_keeper_blessing.description,The Forest Keeper will be summoned with {levels} upgrade levels
blessing.forestry_blessing.name,Blessing of the Forest
blessing.forestry_blessing.description,Increases {wood_icon} gain by {percent_increase}%
blessing.gorgon_blessing.name,Blessing of the Gorgon
blessing.gorgon_blessing.description,Gorgons deal {percent_increase}% more damage for every {every} stacks of Weakness on the wall
blessing.knowledge_blessing.name,Blessing of Knowledge
blessing.knowledge_blessing.description,Increases {knowledge_icon} gain by {percent_increase}%
blessing.magic_gain_blessing.name,Blessing of Magic
blessing.magic_gain_blessing.description,Increases {magic_icon} gain by {percent_increase}%
blessing.midway_blessing.name,Blessing of the Damage
blessing.midway_blessing.description,{knowledge_icon} gain increases by {knowledge_increase}% and wall damage increases by {damage_increase}%
blessing.prestige_blessing.name,Blessing of the Beacon
blessing.prestige_blessing.description,"When the tower has the prestige building built, {magic_icon} and {wood_icon} gain is increased by {percent_increase}%"
blessing.refining_blessing.name,Blessing of Refining
blessing.refining_blessing.description,Runes can be upgraded multiple times.
blessing.research_blessing.name,Blessing of Research
blessing.research_blessing.description,"When Alchemy is built, instantly gain {amount} {magic_gold_icon}.

- Is not affected by resource bonuses."
blessing.runecraft_blessing.name,Blessing of Runecraft
blessing.runecraft_blessing.description,"Every time a Rune is created, create an extra {amount} Rune(s)"
blessing.sage_totem_blessing.name,Blessing of the Sage Totem
blessing.sage_totem_blessing.description,Adds a new Totem that increases Academy EXP gain by a compounding {percent_increase}%
blessing.specialization_blessing.name,Blessing of Specialization
