key,en
theme.environmental.name,自然
theme.gilded.name,金メッキ
theme.inverted.name,反転
theme.magical.name,魔法
theme.sunset.name,日没
theme.twilight.name,黄昏
action.area_press.name,エリアプレス
action.buy_many.name,まとめ買い
action.fps.name,FPS表示切替
action.fullscreen.name,フルスクリーン
action.go_to_academy.name,アカデミーへ移動
action.go_to_building.name,建物へ移動
action.go_to_dragon_nest.name,ドラゴンネストへ移動
action.go_to_embassy.name,大使館へ移動
action.go_to_forestry.name,林業へ移動
action.go_to_observatory.name,天文台へ移動
action.go_to_orb.name,オーブへ移動
action.go_to_prestige.name,プレステージへ移動
action.go_to_relics.name,錬金術ラボへ移動
action.go_to_runecraft.name,ルーンクラフトへ移動
action.go_to_sorcery.name,ソーサリーへ移動
action.go_to_study.name,書斎へ移動
action.go_to_temple.name,寺院へ移動
action.go_to_wall_wizard.name,ウォールウィザードへ移動
action.joypad_zoom_in.name,ズームイン (ゲームパッド)
action.joypad_zoom_out.name,ズームアウト (ゲームパッド)
action.keyboard_zoom_in.name,ズームイン (キーボード)
action.keyboard_zoom_out.name,ズームアウト (キーボード)
action.up.name,上へ移動
action.down.name,下へ移動
action.left.name,左へ移動
action.right.name,右へ移動
blessing.academy_blessing.name,研究の祝福
blessing.academy_blessing.description,アカデミーの研究対象がレベルアップするたび、追加で{mult}レベルを獲得する
blessing.alchemy_blessing.name,錬金術の祝福
blessing.alchemy_blessing.description,{magic_gold_icon}が1つ生成されるたびに、追加で{add}個の{magic_gold_icon}を生成する
blessing.balance_blessing.name,均衡の祝福
blessing.balance_blessing.description,"達成から最も遠いタワー要件のリソース獲得量が{percent_increase}%増加します。

- 全てのタワー要件が満たされている、またはタワー要件が存在しない場合、代わりに全てのタワー要件のリソース獲得量が{all_increase}%増加します。"
blessing.balance_blessing_exception.description,- {cosmic_dust_icon}には適用されません
blessing.blessing_of_carving.name,彫刻の祝福
blessing.blessing_of_carving.description,トーテムの自動購入オプションを解放します。
blessing.blessing_of_compounding.name,複利の祝福
blessing.blessing_of_compounding.description,「破壊の祝福」のボーナスが{percent_increase}%の複利で増加する
blessing.blessing_of_curses.name,呪いの祝福
blessing.blessing_of_curses.description,シャーマンが壁に{effect}を付与します。スタックが100に達すると、全シャーマンの合計ダメージの{mult}倍のダメージを壁に与えます。
blessing.blessing_of_destruction.name,破壊の祝福
blessing.blessing_of_destruction.description,ソーサリー以外のスピリットの生産性が、毎分ダメージの桁が1つ上がるごとに{percent_increase}%増加する。
blessing.blessing_of_destruction.active_description,"ソーサリー以外のスピリットの生産性が{percent_increase}%増加します

- 次のレベル: 毎分{damage}ダメージ。"
blessing.blessing_of_diplomacy.name,外交の祝福
blessing.blessing_of_diplomacy.description,"国家と国交を樹立するたびに、{amount}個の{magic_gold_icon}を獲得します。

- リソースボーナスの影響は受けません。"
blessing.blessing_of_effects.name,効果の祝福
blessing.blessing_of_effects.description,壁の各ステータス効果は、スタックが{decay}に達するまで減少しなくなります
blessing.blessing_of_exploration.name,探検の祝福
blessing.blessing_of_exploration.description,国交を樹立すると、外交官の人口と同数の貿易協定をもたらす新たな国家を発見します。
blessing.blessing_of_few.name,少数精鋭の祝福
blessing.blessing_of_few.description,「60の祝福」または「人口の祝福」が有効でない全てのスピリットタイプの生産性が{percent_increase}%向上します。
blessing.blessing_of_fire.name,火の祝福
blessing.blessing_of_fire.description,"イフリートが壁に{effect}を付与します。「溶融」のスタックごとに、壁が受けるドラゴン・ファイアボールのダメージが{percent_increase}%増加します。

- さらに、ドラゴンEXPの獲得量が{exp_increase}%増加します"
blessing.blessing_of_fire_abridged.description,イフリートが壁に{effect}を付与します。「溶融」のスタックごとに、壁が受けるドラゴン・ファイアボールのダメージが{percent_increase}%増加します。
blessing.blessing_of_hovering.name,ホバリングの祝福
blessing.blessing_of_hovering.description,クリックの代わりに、対象エリアの上にカーソルを置くだけでスピリットの速度が上昇します。
blessing.blessing_of_multitasking.name,マルチタスクの祝福
blessing.blessing_of_multitasking.description,スピリットセージがアカデミーの全教科を同時に研究するようになります。
blessing.blessing_of_n.name,60の祝福
blessing.blessing_of_n.description,"個体数が{threshold}以上のスピリットは、生産性が{percent_increase}%向上します。

-「生産性」とは、そのスピリットの持つ主要な能力を指します。"
blessing.blessing_of_population.name,人口の祝福
blessing.blessing_of_population.description,"最も個体数の多いスピリットタイプの生産性が{percent_increase}%向上します。

-「生産性」とは、そのスピリットの持つ主要な能力を指します。"
blessing.blessing_of_summoning.name,召喚の祝福
blessing.blessing_of_summoning.description,{spirit_icon}の自動購入オプションを解放します。
blessing.blessing_of_supervision.name,指導者の祝福
blessing.blessing_of_supervision.description,最後にクリックした場所は、次に別の場所をクリックするまで、作業速度が{percent_increase}%向上します
blessing.blessing_of_supervision_units.description,- ソーサリーユニットが得られる速度ボーナスは半分になります
blessing.blessing_of_the_tower.name,塔の祝福
blessing.blessing_of_the_tower.description,新たな周回を開始すると、「書斎」、{cloudlings}体の「クラウドリング」、{tomes}冊の「トーム」を所持した状態でタワーが建設されます
blessing.blessing_of_the_tower_2.name,塔の大いなる祝福
blessing.blessing_of_the_tower_2.description,新たな周回を開始すると、「林業」「プレステージ」が解放され、{druids}体の「ドルイド」と{spirit_tomes}冊の「スピリット・トーム」を追加で所持した状態でタワーが建設されます。
blessing.blessing_of_the_tower_3.name,塔の最終祝福
blessing.blessing_of_the_tower_3.description,新たな周回を開始すると、「ソーサリー」までの全ての建物が建設された状態でタワーが始まります。
blessing.blessing_of_totems.name,トーテムの祝福
blessing.blessing_of_totems.description,特定の種類のトーテムが{totems}個彫られるごとに、そのトーテムのパッシブ効果が{percent_increase}%の複利で増加します
blessing.build_academy.name,書物の祝福
blessing.build_academy.description,スピリット・トームが{requirement}冊以上ある場合、{knowledge_icon}と{magic_icon}の獲得量が{percent_increase}%増加します
blessing.crafting_totem_blessing.name,製作トーテムの祝福
blessing.crafting_totem_blessing.description,{blank_rune_icon}と{magic_gold_icon}の生成速度を{percent_increase}%向上させる新たなトーテムを追加します
blessing.doubling_blessing.name,倍増の祝福
blessing.doubling_blessing.description,クラウドリング、スピリット・トーム、ドルイドを召喚する際、2倍の数が召喚されます。
blessing.dragon_blessing.name,ドラゴンの祝福
blessing.dragon_blessing.description,ドラゴンがレベルアップすると、追加で{points}のドラゴンアビリティポイントを獲得します
blessing.dragon_wisdom_blessing.name,ドラゴンの知恵の祝福
blessing.dragon_wisdom_blessing.description,ドラゴンアビリティレベルが10上がるごとに、アビリティの効果値が{percent_increase}%の複利で増加します
blessing.forest_keeper_blessing.name,森の番人の祝福
blessing.forest_keeper_blessing.description,森の番人が{levels}のアップグレードレベルを持った状態で召喚されます
blessing.forestry_blessing.name,森の祝福
blessing.forestry_blessing.description,{wood_icon}の獲得量が{percent_increase}%増加します
blessing.gorgon_blessing.name,ゴルゴンの祝福
