key,en
theme.environmental.name,Terroso
theme.gilded.name,Dourado
theme.inverted.name,Invertido
theme.magical.name,Mágico
theme.sunset.name,Pôr do Sol
theme.twilight.name,Crepúsculo
action.area_press.name,Pressionar Área
action.buy_many.name,Modificador de Compra Múltipla
action.fps.name,Alternar FPS
action.fullscreen.name,Tela Cheia
action.go_to_academy.name,Ir para a Academia
action.go_to_building.name,Ir para a Construção
action.go_to_dragon_nest.name,Ir para o Ninho do Dragão
action.go_to_embassy.name,Ir para a Embaixada
action.go_to_forestry.name,Ir para a Silvicultura
action.go_to_observatory.name,Ir para o Observatório
action.go_to_orb.name,Ir para a Orbe
action.go_to_prestige.name,Ir para o Prestígio
action.go_to_relics.name,Ir para o Laboratório de Alquimia
action.go_to_runecraft.name,Ir para a Forja de Runas
action.go_to_sorcery.name,Ir para a Feitiçaria
action.go_to_study.name,Ir para o Estudo
action.go_to_temple.name,Ir para o Templo
action.go_to_wall_wizard.name,Ir para o Mago da Muralha
action.joypad_zoom_in.name,Aproximar (Controle)
action.joypad_zoom_out.name,Afastar (Controle)
action.keyboard_zoom_in.name,Aproximar (Teclado)
action.keyboard_zoom_out.name,Afastar (Teclado)
action.up.name,Mover para Cima
action.down.name,Mover para Baixo
action.left.name,Mover para a Esquerda
action.right.name,Mover para a Direita
blessing.academy_blessing.name,Bênção da Pesquisa
blessing.academy_blessing.description,"Quando os temas de pesquisa na Academia sobem de nível, eles ganham {mult} nível(is) extra(s)"
blessing.alchemy_blessing.name,Bênção da Alquimia
blessing.alchemy_blessing.description,"Cada vez que um {magic_gold_icon} é criado, cria-se {add} {magic_gold_icon} extra(s)"
blessing.balance_blessing.name,Bênção do Equilíbrio
blessing.balance_blessing.description,"O requisito da torre que estiver mais longe de ser atingido terá seu ganho de recurso aumentado em {percent_increase}% - Se todos os requisitos da torre forem atingidos, ou se não houver requisitos, aumenta os ganhos de todos os recursos de requisitos da torre em {all_increase}%."
blessing.balance_blessing_exception.description,- Não se aplica a {cosmic_dust_icon}
blessing.blessing_of_carving.name,Bênção do Entalhe
blessing.blessing_of_carving.description,Desbloqueia a opção de comprar Totens automaticamente.
blessing.blessing_of_compounding.name,Bênção dos Juros Compostos
blessing.blessing_of_compounding.description,Os bônus da Bênção da Destruição aumentarão de forma composta em {percent_increase}%
blessing.blessing_of_curses.name,Bênção das Maldições
blessing.blessing_of_curses.description,"Xamãs aplicarão {effect} na muralha. Ao atingir 100 acúmulos, causa dano à muralha igual a {mult} vezes o dano de todos os Xamãs combinados."
blessing.blessing_of_destruction.name,Bênção da Destruição
blessing.blessing_of_destruction.description,A produtividade de Espíritos não-feitiçaria aumentará em {percent_increase}% para cada ordem de magnitude de dano por minuto.
blessing.blessing_of_destruction.active_description,A produtividade de Espíritos não-feitiçaria aumentará em {percent_increase}% - Próximo nível em {damage} de dano por minuto.
blessing.blessing_of_diplomacy.name,Bênção da Diplomacia
blessing.blessing_of_diplomacy.description,"Cada vez que você estabelece relações com uma nação, ganha {amount} {magic_gold_icon}. - Não é afetado por bônus de recursos."
blessing.blessing_of_effects.name,Bênção dos Efeitos
blessing.blessing_of_effects.description,Cada efeito de status na muralha só decairá após atingir {decay} acúmulos
blessing.blessing_of_exploration.name,Bênção da Exploração
blessing.blessing_of_exploration.description,Revela uma nova nação que fornecerá Acordos Comerciais iguais à sua população de diplomatas quando relações forem estabelecidas.
blessing.blessing_of_few.name,Bênção dos Poucos
blessing.blessing_of_few.description,Todos os tipos de Espírito que não tiverem a Bênção de 60 ou a Bênção da População ativa se tornarão {percent_increase}% mais produtivos.
blessing.blessing_of_fire.name,Bênção do Fogo
blessing.blessing_of_fire.description,"Ifrits aplicarão {effect} na muralha. Para cada acúmulo de Fundido, a Muralha recebe {percent_increase}% mais dano das Bolas de Fogo do Dragão. - O ganho de EXP do Dragão também aumenta em {exp_increase}%"
blessing.blessing_of_fire_abridged.description,"Ifrits aplicarão {effect} na muralha. Para cada acúmulo de Fundido, a Muralha recebe {percent_increase}% mais dano das Bolas de Fogo do Dragão."
blessing.blessing_of_hovering.name,Bênção de Flutuar
blessing.blessing_of_hovering.description,Apenas passar o mouse sobre um local acelerará os espíritos em vez de clicar.
blessing.blessing_of_multitasking.name,Bênção da Multitarefa
blessing.blessing_of_multitasking.description,Sábios Espirituais pesquisarão todos os temas na Academia ao mesmo tempo.
blessing.blessing_of_n.name,Bênção de 60
blessing.blessing_of_n.description,Espíritos com uma população de {threshold} ou mais se tornarão {percent_increase}% mais produtivos. - 'Produtivo' significa que a função primária do tipo de espírito é impulsionada.
blessing.blessing_of_population.name,Bênção da População
blessing.blessing_of_population.description,O tipo de Espírito com a maior população se tornará {percent_increase}% mais produtivo. - 'Produtivo' significa que a função primária do tipo de espírito é impulsionada.
blessing.blessing_of_summoning.name,Bênção da Invocação
blessing.blessing_of_summoning.description,Desbloqueia a opção de comprar {spirit_icon} automaticamente.
blessing.blessing_of_supervision.name,Bênção da Supervisão
blessing.blessing_of_supervision.description,O último local clicável que você clicou recebe um bônus de velocidade de {percent_increase}% até que uma área diferente seja clicada
blessing.blessing_of_supervision_units.description,- Unidades de feitiçaria ganham apenas metade do aumento de velocidade
blessing.blessing_of_the_tower.name,Bênção da Torre
blessing.blessing_of_the_tower.description,"Ao iniciar uma nova partida, a torre será construída com o estudo, {cloudlings} nuvenzinhas e {tomes} tomos"
blessing.blessing_of_the_tower_2.name,Bênção Maior da Torre
blessing.blessing_of_the_tower_2.description,"Ao iniciar uma nova partida, a torre será construída com Silvicultura, {druids} Druidas, Prestígio e {spirit_tomes} Tomos Espirituais adicionais."
blessing.blessing_of_the_tower_3.name,Bênção Final da Torre
blessing.blessing_of_the_tower_3.description,"Ao iniciar uma nova partida, a torre será construída com todas as construções até e incluindo Feitiçaria."
blessing.blessing_of_totems.name,Bênção dos Totens
blessing.blessing_of_totems.description,"Para cada {totems} totens de um certo tipo entalhados, aumenta o efeito passivo daquele tipo de totem em {percent_increase}% compostos"
blessing.build_academy.name,Bênção dos Tomos
blessing.build_academy.description,"Quando houver pelo menos {requirement} Tomos Espirituais, o ganho de {knowledge_icon} e {magic_icon} aumenta em {percent_increase}%"
blessing.crafting_totem_blessing.name,Bênção do Totem de Fabricação
blessing.crafting_totem_blessing.description,Adiciona um novo Totem que acelera a criação de {blank_rune_icon} e {magic_gold_icon} em {percent_increase}%
blessing.doubling_blessing.name,Bênção da Duplicação
blessing.doubling_blessing.description,"Quando uma Nuvenzinha, Tomo Espiritual ou Druida é invocado, ele será invocado em dobro."
blessing.dragon_blessing.name,Bênção do Dragão
blessing.dragon_blessing.description,"Quando o Dragão sobe de nível, ganha {points} pontos de habilidade de dragão adicionais"
blessing.dragon_wisdom_blessing.name,Bênção da Sabedoria do Dragão
blessing.dragon_wisdom_blessing.description,"A cada 10º nível de uma habilidade de Dragão, o valor da habilidade é impulsionado em {percent_increase}% compostos"
blessing.forest_keeper_blessing.name,Bênção do Guardião da Floresta
blessing.forest_keeper_blessing.description,O Guardião da Floresta será invocado com {levels} níveis de melhoria
blessing.forestry_blessing.name,Bênção da Floresta
blessing.forestry_blessing.description,Aumenta o ganho de {wood_icon} em {percent_increase}%
blessing.gorgon_blessing.name,Bênção da Górgona
blessing.gorgon_blessing.description,Górgonas causam {percent_increase}% mais dano para cada {every} acúmulos de Fraqueza na muralha
blessing.knowledge_blessing.name,Bênção do Conhecimento
blessing.knowledge_blessing.description,Aumenta o ganho de {knowledge_icon} em {percent_increase}%
blessing.magic_gain_blessing.name,Bênção da Magia
blessing.magic_gain_blessing.description,Aumenta o ganho de {magic_icon} em {percent_increase}%
blessing.midway_blessing.name,Bênção do Dano
blessing.midway_blessing.description,O ganho de {knowledge_icon} aumenta em {knowledge_increase}% e o dano à muralha aumenta em {damage_increase}%
blessing.prestige_blessing.name,Bênção do Farol
blessing.prestige_blessing.description,"Quando a torre tem a construção de prestígio construída, o ganho de {magic_icon} e {wood_icon} aumenta em {percent_increase}%"
blessing.refining_blessing.name,Bênção do Refino
blessing.refining_blessing.description,Runas podem ser melhoradas várias vezes.
blessing.research_blessing.name,Bênção da Pesquisa
blessing.research_blessing.description,"Quando a Alquimia for construída, ganha instantaneamente {amount} {magic_gold_icon}. - Não é afetado por bônus de recursos."
blessing.runecraft_blessing.name,Bênção da Forja de Runas
blessing.runecraft_blessing.description,"Cada vez que uma Runa é criada, cria-se {amount} Runa(s) extra(s)"
blessing.sage_totem_blessing.name,Bênção do Totem do Sábio
blessing.sage_totem_blessing.description,Adiciona um novo Totem que aumenta o ganho de EXP da Academia em {percent_increase}% compostos
blessing.specialization_blessing.name,Bênção da Especialização
blessing.specialization_blessing.description,"Ganha {amount} Pontos de Habilidade de Dragão inicialmente. A cada {every} níveis ganhos em uma habilidade de Dragão, aumenta todas as outras habilidades de Dragão em {points} níveis"
blessing.spirit_debt.name,Bênção da Dívida
blessing.spirit_debt.description,Comece com {amount} {spirit_icon} negativo(s). Todo tipo de Espírito não-feitiçaria começará com {start_amount} {spirit_icon} invocados.
button.autobuy_spirits,Compra Automática
button.bought,Comprado
button.build_tower,Construir Torre
button.built,Construído
button.buy,Comprar
button.cancel,Cancelar
button.cannot_upgrade,Não é possível melhorar
button.close,Fechar
button.continue_anyway,Continuar Mesmo Assim
button.craft,Fabricar
button.early_prestige,Prestígio Precoce
button.email,barribobgames@gmail.com
button.end_game,Fim de Jogo
button.exit,Sair
button.final_ascension,A Ascensão Final
button.fire_magic,Feixe de Magia de Fogo
button.go_to_academy,Ir para a Academia (Atalho {shortcut})
button.go_to_building,Ir para a Construção (Atalho {shortcut})
button.go_to_dragon,Ir para o Ninho do Dragão (Atalho {shortcut})
button.go_to_embassy,Ir para a Embaixada (Atalho {shortcut})
button.go_to_forest,Ir para a Silvicultura (Atalho {shortcut})
button.go_to_observatory,Ir para o Observatório (Atalho {shortcut})
button.go_to_orb,Ir para a Orbe (Atalho {shortcut})
button.go_to_prestige,Ir para o Prestígio (Atalho {shortcut})
button.go_to_relics,Ir para o Laboratório de Alquimia (Atalho {shortcut})
button.go_to_runecraft,Ir para a Forja de Runas (Atalho {shortcut})
button.go_to_sorcery,Ir para a Feitiçaria (Atalho {shortcut})
button.go_to_sorcery_2,Ir para a Feitiçaria
button.go_to_study,Ir para o Estudo (Atalho {shortcut})
button.go_to_temple,Ir para o Templo (Atalho {shortcut})
button.go_to_wall_wizard,Ir para o Mago da Muralha (Atalho {shortcut})
button.google_forms,Google Forms
button.hide_maxed_skills,Ocultar no Máximo
button.learn,Aprender
button.maxed,No Máximo
button.new_game,Novo Jogo!
button.next_run,Próxima Partida
button.ok,OK
button.open_remap_menu,Remapear Atalhos
button.open_save_folder,Abrir Pasta de Saves
button.preload_3,3 Pontos de Prestígio
button.preload_6,6 Pontos de Prestígio
button.preload_9,9 Pontos de Prestígio
button.preload_13,13 Pontos de Prestígio
button.preload_18,18 Pontos de Prestígio
button.preload_24,24 Pontos de Prestígio
button.prestige,Prestígio
button.prestige_cancel,Cancelar
button.prestige_confirm,Confirmar
button.refund_diplomats,Reembolsar Diplomatas
button.reset,Reiniciar
button.reset_blessings,Reembolsar Todas as Bênçãos
button.sorcery_manual,Manual de Feitiçaria
button.steam_forum,Fórum da Steam
button.toggle_fullscreen,Alternar Tela Cheia
button.unlocked,Desbloqueado
button.upgrade,Melhorar
button.upgrade_tower,Ascender Torre
button.view_blessings,Ver Bênçãos
button.we'll_see,Veremos Sobre Isso
damage_source.curse.name,Maldição
damage_source.curse.description,Maldição
damage_source.dragon.name,Dragão
damage_source.dragon.description,Dragão
damage_source.fire_arrows.name,Flechas de Fogo
damage_source.fire_arrows.description,Flechas de Fogo
damage_source.fireball_shrapnel.name,Estilhaços de Bola de Fogo
damage_source.fireball_shrapnel.description,Estilhaços de Bola de Fogo
damage_source.gorgon.name,Górgona
damage_source.gorgon.description,Górgona
damage_source.ice_arrows.name,Flechas de Gelo
damage_source.ice_arrows.description,Flechas de Gelo
damage_source.ifrit.name,Ifrit
damage_source.ifrit.description,Ifrit
damage_source.shaman.name,Xamã
damage_source.shaman.description,Xamã
damage_source.spirit_sage.name,Sábio Espiritual
damage_source.spirit_sage.description,Sábio Espiritual
damage_source.wall_repair.name,Reparo da Muralha
damage_source.wall_repair.description,Reparo da Muralha - Repara a muralha em até {repair_rate} de dano por minuto
damage_source.zephyr.name,Zéfiro
damage_source.zephyr.description,Zéfiro
dragon_ability.fireballs.name,Bolas de Fogo
dragon_ability.fireballs.tooltip,"Se houver uma muralha, atira ocasionalmente uma bola de fogo que causa {main_value} de dano base."
dragon_ability.magic_breath.name,Sopro Mágico
dragon_ability.magic_breath.tooltip,"Sopra ocasionalmente {magic_icon} para a Orbe, igual à produção de {main_value} Nuvenzinhas"
dragon_ability.next_value_tooltip,- Melhorar aumenta isso para {next_value}
dragon_ability.pulse_of_knowledge.name,Pulso de Conhecimento
dragon_ability.pulse_of_knowledge.tooltip,Ganha ocasionalmente {knowledge_icon} igual a {main_value} tomos. - Segure o botão ou pressione shift para comprar vários
dragon_ability.telepathy.name,Telepatia
dragon_ability.telepathy.tooltip,Aumenta o ganho de experiência da Academia em {main_value}%
dragon_ability.treasure_keeper.name,Guardião do Tesouro
dragon_ability.treasure_keeper.tooltip,Aumenta a velocidade de produção de {magic_gold_icon} em {main_value}%
header.abilities,Habilidades
header.academy,Academia
header.alchemists,Laboratório de Alquimia
header.blessing_locked,Bênçãos Bloqueadas
header.blessings,Bênçãos
header.blessings_view_only,Bênçãos (Apenas Visualização)
header.building,Construção
header.dragon_nest,Ninho do Dragão
header.early_prestige,Prestígio Precoce
header.embassy,Embaixada
header.forestry,Silvicultura
header.level,Nv.{level}
header.milestone_blessings,Bênçãos de Marco
header.new_update,Nova Atualização
header.notice,Aviso
header.observatory,Observatório
header.orb,A Orbe
header.playtest,Bem-vindo ao Playtest!
header.prestige,Prestígio
header.relics,Relíquias
header.remap,Remapear
header.rune,Forja de Runas
header.skills,Habilidades
header.small_buildings,Alojamento de Espíritos
header.sorcery,Feitiçaria
header.spirits,A Orbe
header.study,Estudo
header.temple,Templo
header.this_run,Esta Partida
header.totems,Totens
header.tower_requirements,Requisitos da Torre
header.training,Pesquisa
header.unlockable_blessings,Bênçãos Desbloqueáveis
header.unspent_points,Você Tem Pontos Não Gastos
header.warden,Mago da Muralha
label.assigned_points,Pontos Atribuídos: {points}
label.attention_icon_explanation,A Torre pode ser Ascendida para o próximo nível.
label.build_tower_explanation,Não consome recursos para ascender
label.calculating,Calculando...
label.confirm_prestige,Tem certeza de que deseja realizar o prestígio?
label.cost,Custo:
label.cost_icon,{cost} {icon}
label.costs,- custa
label.crafting_cost,Custo de Fabricação:
label.damage_exp_explanation,"Quando esta barra estiver cheia, você ganha um ponto de prestígio. - A barra se preenche com base no dano causado à muralha. - Tempo Estimado: {eta}"
label.damage_type_blessing,Efeito da Bênção:
label.dragon_costs,- custa {cost} {icon}
label.dragon_level,"Toda vez que o Dragão sobe de nível, você ganha um ponto de habilidade para melhorar habilidades - Tempo Estimado: {eta}"
label.effects,Efeitos
label.effects_description,Estes são os efeitos que estão atualmente aplicados à muralha.
label.ending_time,Você construiu a maior Torre do Mago em {hours}:{minutes}:{seconds}
label.feedback,Feedback
